gene_names1	match_protein_names1	gene_names2	match_protein_names2	coexpression
CXCR5	CXCR5	MS4A1	CD20	0.507
CD47	CD47	CXCR5	CXCR5	0
CXCR5	CXCR5	FOXP3	FOXP3	0.067
CXCR5	CXCR5	HLA-A	HLA-A	0.047
CXCR5	CXCR5	TOX	TOX	0
CXCR5	CXCR5	SDC1	synd	0
CXCR5	CXCR5	FGA	FIBR	0
CXCR5	CXCR5	PECAM1	CD31	0.057
CD8A	CD8	CXCR5	CXCR5	0.068
CR2	CD21	CXCR5	CXCR5	0.33
CXCR5	CXCR5	FCGR3A	CD16	0.055
CD274	PD-L1	CXCR5	CXCR5	0.045
CD3E	CD3e	CXCR5	CXCR5	0.075
CXCR5	CXCR5	SIRPA	SIRP	0.078
CXCR5	CXCR5	PDCD1	PD-1	0.123
CD44	CD44	CXCR5	CXCR5	0.044
CXCR5	CXCR5	PDPN	Podoplanin	0
FOXP3	FOXP3	PDPN	Podoplanin	0
MKI67	Ki67	PDPN	Podoplanin	0.044
IDH1	IDH1	PDPN	Podoplanin	0
CD3E	CD3e	PDPN	Podoplanin	0.086
CD44	CD44	PDPN	Podoplanin	0.077
PDCD1	PD-1	PDPN	Podoplanin	0
PDPN	Podoplanin	VIM	Vimentin	0.081
PDPN	Podoplanin	PECAM1	CD31	0
CD47	CD47	PDPN	Podoplanin	0.086
PDPN	Podoplanin	PTPRC	CD45	0.067
ICOS	ICOS	PDPN	Podoplanin	0.068
CD274	PD-L1	PDPN	Podoplanin	0.073
MGMT	MGMT	PDPN	Podoplanin	0
PDPN	Podoplanin	SIRPA	SIRP	0.056
CD8A	CD8	PDPN	Podoplanin	0.06
PDPN	Podoplanin	SDC1	synd	0.042
FCGR3A	CD16	PDPN	Podoplanin	0.086
CR2	CD21	PDPN	Podoplanin	0
DLG4	PSD95	SYN1	SYNA	0.186
PECAM1	CD31	SYN1	SYNA	0
SYN1	SYNA	VIM	Vimentin	0
CD44	CD44	SYN1	SYNA	0
MAP2	MAP2	SYN1	SYNA	0.181
PTPRC	CD45	SYN1	SYNA	0.042
OLIG2	OLIG2	SYN1	SYNA	0.165
CD274	PD-L1	MGMT	MGMT	0
CD8A	CD8	MGMT	MGMT	0
MGMT	MGMT	OLIG2	OLIG2	0
CD47	CD47	MGMT	MGMT	0.042
MGMT	MGMT	PTPRC	CD45	0.042
IDH1	IDH1	MGMT	MGMT	0
CD44	CD44	MGMT	MGMT	0
MGMT	MGMT	PDCD1	PD-1	0
MGMT	MGMT	PECAM1	CD31	0
MGMT	MGMT	VIM	Vimentin	0
FOXP3	FOXP3	MGMT	MGMT	0
MGMT	MGMT	MKI67	Ki67	0
CD8A	CD8	ICOS	ICOS	0.266
ICOS	ICOS	PECAM1	CD31	0.088
ICOS	ICOS	SDC1	synd	0
FCGR3A	CD16	ICOS	ICOS	0.097
CR2	CD21	ICOS	ICOS	0.12
CD3E	CD3e	ICOS	ICOS	0.41
CD274	PD-L1	ICOS	ICOS	0.089
CD44	CD44	ICOS	ICOS	0.049
ICOS	ICOS	PDCD1	PD-1	0.212
ICOS	ICOS	SIRPA	SIRP	0.05
ICOS	ICOS	MKI67	Ki67	0
ICOS	ICOS	PTPRC	CD45	0.266
ICOS	ICOS	TOX	TOX	0.101
HLA-A	HLA-A	ICOS	ICOS	0.067
FOXP3	FOXP3	ICOS	ICOS	0.161
CD47	CD47	ICOS	ICOS	0.061
ICOS	ICOS	MS4A1	CD20	0.182
HLA-DRA	HLA-DR	ICOS	ICOS	0.139
MAP2	MAP2	OLIG2	OLIG2	0.112
OLIG2	OLIG2	PTPRC	CD45	0
CD8A	CD8	OLIG2	OLIG2	0
FCGR3A	CD16	OLIG2	OLIG2	0.083
MKI67	Ki67	OLIG2	OLIG2	0
DLG4	PSD95	OLIG2	OLIG2	0.127
OLIG2	OLIG2	PECAM1	CD31	0
OLIG2	OLIG2	VIM	Vimentin	0
IDH1	IDH1	OLIG2	OLIG2	0
CD44	CD44	OLIG2	OLIG2	0
IDH1	IDH1	PDCD1	PD-1	0
CD3E	CD3e	PDCD1	PD-1	0.149
CD274	PD-L1	PDCD1	PD-1	0.111
CD44	CD44	PDCD1	PD-1	0
PDCD1	PD-1	SIRPA	SIRP	0.042
PDCD1	PD-1	VIM	Vimentin	0
CD8A	CD8	PDCD1	PD-1	0.175
PDCD1	PD-1	PECAM1	CD31	0.054
PDCD1	PD-1	SDC1	synd	0
FCGR3A	CD16	PDCD1	PD-1	0.074
CR2	CD21	PDCD1	PD-1	0.072
PDCD1	PD-1	TOX	TOX	0.079
HLA-A	HLA-A	PDCD1	PD-1	0.075
FOXP3	FOXP3	PDCD1	PD-1	0.128
CD47	CD47	PDCD1	PD-1	0
MS4A1	CD20	PDCD1	PD-1	0.138
HLA-DRA	HLA-DR	PDCD1	PD-1	0.122
PDCD1	PD-1	PTPRC	CD45	0.12
MKI67	Ki67	PDCD1	PD-1	0
IDH1	IDH1	MAP2	MAP2	0
CD44	CD44	MAP2	MAP2	0
MAP2	MAP2	VIM	Vimentin	0.05
MAP2	MAP2	PECAM1	CD31	0
DLG4	PSD95	MAP2	MAP2	0.131
MAP2	MAP2	PTPRC	CD45	0
MAP2	MAP2	SIRPA	SIRP	0
CD8A	CD8	MAP2	MAP2	0
CD3E	CD3e	MKI67	Ki67	0
CD3E	CD3e	PTPRC	CD45	0.27
CD3E	CD3e	HLA-DRA	HLA-DR	0.167
CD3E	CD3e	MS4A1	CD20	0.285
CD3E	CD3e	CD47	CD47	0.106
CD3E	CD3e	FOXP3	FOXP3	0.104
CD3E	CD3e	HLA-A	HLA-A	0.086
CD3E	CD3e	SDC1	synd	0
CD3E	CD3e	PECAM1	CD31	0.08
CD3E	CD3e	CD8A	CD8	0.713
CD3E	CD3e	VIM	Vimentin	0.086
CD3E	CD3e	CR2	CD21	0.141
CD3E	CD3e	FCGR3A	CD16	0.166
CD274	PD-L1	CD3E	CD3e	0.068
CD3E	CD3e	SIRPA	SIRP	0
CD3E	CD3e	CD44	CD44	0.106
PTPRC	CD45	TOX	TOX	0.077
CD274	PD-L1	TOX	TOX	0.049
CD8A	CD8	TOX	TOX	0.108
FOXP3	FOXP3	TOX	TOX	0.059
CD47	CD47	MKI67	Ki67	0
CD47	CD47	FOXP3	FOXP3	0
CD47	CD47	VIM	Vimentin	0.095
CD47	CD47	PECAM1	CD31	0.105
CD47	CD47	DLG4	PSD95	0
CD47	CD47	IDH1	IDH1	0.042
CD44	CD44	CD47	CD47	0.144
CD47	CD47	PTPRC	CD45	0.126
CD47	CD47	HLA-A	HLA-A	0.088
CD47	CD47	MS4A1	CD20	0.089
CD47	CD47	HLA-DRA	HLA-DR	0.126
CD47	CD47	CD8A	CD8	0.1
CD47	CD47	SDC1	synd	0
CD47	CD47	FCGR3A	CD16	0.1
CD47	CD47	CR2	CD21	0.052
CD274	PD-L1	CD47	CD47	0.076
CD47	CD47	SIRPA	SIRP	0.087
CR2	CD21	FOXP3	FOXP3	0.062
CR2	CD21	MKI67	Ki67	0
CD44	CD44	CR2	CD21	0.064
CR2	CD21	PECAM1	CD31	0
CR2	CD21	FGA	FIBR	0.112
CR2	CD21	HLA-A	HLA-A	0
CR2	CD21	MS4A1	CD20	0.561
CR2	CD21	HLA-DRA	HLA-DR	0.11
CR2	CD21	PTPRC	CD45	0.12
CR2	CD21	SIRPA	SIRP	0
CD274	PD-L1	CR2	CD21	0
CR2	CD21	FCGR3A	CD16	0.057
CD8A	CD8	CR2	CD21	0.079
CR2	CD21	SDC1	synd	0
FCGR3A	CD16	MKI67	Ki67	0
FCGR3A	CD16	PTPRC	CD45	0.27
FCGR3A	CD16	FOXP3	FOXP3	0.062
FCGR3A	CD16	HLA-A	HLA-A	0.143
CD14	CD14	FCGR3A	CD16	0.43
FCGR3A	CD16	HLA-DRA	HLA-DR	0.333
FCGR3A	CD16	MS4A1	CD20	0.099
CD8A	CD8	FCGR3A	CD16	0.176
FCGR3A	CD16	VIM	Vimentin	0.105
FCGR3A	CD16	PECAM1	CD31	0.267
FCGR3A	CD16	SDC1	synd	0
FCGR3A	CD16	IDH1	IDH1	0
CD274	PD-L1	FCGR3A	CD16	0.128
CD44	CD44	FCGR3A	CD16	0.074
FCGR3A	CD16	SIRPA	SIRP	0.163
FOXP3	FOXP3	MKI67	Ki67	0
IDH1	IDH1	MKI67	Ki67	0.067
CD44	CD44	MKI67	Ki67	0.042
